name,trade_name,cvm_code,about,b3_issuer_code,website,main_activity
Simpar S.A.,Simpar,25003,,SIMH,http://ri.simpar.com.br/pt-br,Participação em Outras Sociedades Empresariais. Como Sócia Ou Acionista.
Movida Participações S.A.,Movida,23825,"A Movida é uma empresa brasileira de locação de veículos, terceirização de frotas e venda de seminovos, fundada em 2006 na cidade de São Paulo. Em 2013, foi adquirida pelo grupo JSL (hoje Simpar). A empresa lançou o serviço Movida Express, que possibilitou a retirada e devolução de veículos no Aeroporto de Congonhas. Hoje, a Movida é considerada uma das maiores companhias de locação de veículos do Brasil, em tamanho de frota e receita, com presença estratégica em todos os estados do país e alianças estratégicas com as principais montadoras.",MOVI,https://ri.movida.com.br,Aluguel de Carros E Gestão de Frotas
Suzano Holding S.A.,Suzano Hold,9067,,NEMO,http://www.suzano.com.br,Sociedade Holding - Participação Como Acionista Ou Quotista No Capital Social de Outras Sociedades
Atma Participações S.A.,Atma,19100,"A Atmxa, fundada em 2000, é uma empresa de capital aberto brasileira, anteriormente conhecida como ""Liq Corp"" e ""Contax Participações"", que atua no setor de terceirização de processos de negócio. Através de suas subsidiárias, a empresa oferece serviços de atendimento a clientes, manutenção e tecnologia. Com sede em São Paulo, a Atma é uma das maiores empresas do país em seu segmento. Com mais de 60 mil colaboradores em dez estados brasileiros e em outros países, a empresa presta serviços a diversas empresas, incluindo grandes bancos e marcas conhecidas como Rede Globo e LATAM Airlines.",ATMP,https://www.atmasa.com.br,A Atma Participações S.A. Tem Como Objeto Social A Participação. Direta E Indireta. em Outras Sociedades Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.
Neoenergia S.A.,Neoenergia,15539,"A Neoenergia é uma empresa de energia elétrica que faz parte do grupo espanhol Iberdrola, sendo o maior grupo privado do setor elétrico brasileiro em número de clientes. Com mais de 15 milhões de unidades consumidoras e mais de 37 milhões de pessoas atendidas por suas distribuidoras, a Neoenergia está presente em 18 estados brasileiros e no Distrito Federal, atuando nas áreas de geração, transmissão, distribuição e comercialização de energia. Com forte atuação no segmento de energias renováveis, a Neoenergia possui 44 parques eólicos na Bahia, no Rio Grande do Norte e na Paraíba, além de uma usina solar em Fernando de Noronha (PE).",NEOE,https://ri.neoenergia.com,Participação em Outras Sociedades
LPS Brasil Consultoria de Imóveis S.A.,Lopes,20370,"A Lopes é uma empresa brasileira com mais de 85 anos de experiência no mercado imobiliário. Com uma ampla gama de serviços, a Lopes atua na corretagem e consultoria de projetos e financeira, oferecendo intermediação de empreendimentos residenciais, comerciais, hotéis, flats, loteamentos, entre outros. Além disso, a empresa presta consultoria no processo de concepção e desenvolvimento dos lançamentos imobiliários. Com uma presença em 10 estados e no DF, a Lopes é uma das principais referências do setor imobiliário no Brasil.",LPSB,https://ri.lopes.com.br,Intermediação Na Compra. Venda. Permuta E Locação de Imóveis Ou de Direitos E Obrigações A Eles Relativos.
Embraer S.A.,Embraer,20087,"A Embraer é uma empresa brasileira líder na fabricação de aviões comerciais, executivos, agrícolas e militares, além de peças aeroespaciais e serviços de suporte na área. Com sede em São José dos Campos, a empresa possui unidades em diversos países e é a terceira maior fabricante de jatos comerciais do mundo. Com uma receita líquida de 21,4 bilhões de reais em 2016, a Embraer é uma das maiores exportadoras brasileiras e é reconhecida por sua inovação e qualidade em seus produtos e serviços.",EMBR,https://ri.embraer.com.br,Projeto. Desenvolvimento. Fabricação. Comercialização de Aeronaves E Sistemas E Fornecimento de Suporte E Serviços de Pós-venda.
Magazine Luiza S.A.,Magazine Luiza,22470,"A Magazine Luiza é uma empresa brasileira de varejo multicanal que foi fundada em 1957 na cidade de Franca por Pelegrino José Donato e sua esposa Luiza Trajano. Com mais de 1.481 lojas físicas em 21 estados e 819 municípios do país, a empresa se destaca por seu modelo de negócio que combina pontos físicos com uma plataforma digital. Sob a gestão de Frederico Trajano, filho de Luiza Helena Trajano, a empresa passou por uma transformação digital e teve seu melhor resultado em 2017, com lucro líquido de R$ 389 milhões. Além disso, o Magazine Luiza é reconhecido por suas estratégias de marketing e vendas, como a Liquidação Fantástica e o Dia de Ouro, e já recebeu diversos prêmios, incluindo o Caboré e o Leão de Bronze em Cannes.",MGLU,https://ri.magazineluiza.com.br,Somos Uma Rede Varejista E Atuamos Com Foco Na Comercialização de Bens Duráveis No Brasil.
Ultrapar Participações S.A.,Ultrapar,18465,"O Grupo Ultra é uma das maiores empresas do Brasil, com atuação nos setores de distribuição de combustíveis e gás, serviços de armazenagem para granéis líquidos, e produção de óxido de eteno e derivados. A companhia é controlada pela holding Ultrapar e suas subsidiárias incluem a Ultragaz, a Ipiranga e a Ultracargo. Com uma receita líquida de R$ 81,2 bilhões em 2020, o Grupo Ultra é uma das empresas mais importantes do país e está entre as 500 maiores do mundo, segundo a revista Fortune. A história do Ultra remonta a 1937, com a fundação da Empresa Brasileira de Gás a Domicílio, que deu origem à Ultragaz e, posteriormente, à Ultrapar. Desde então, a companhia tem expandido suas atividades e se consolidado como líder em seus setores de atuação.",UGPA,https://ri.ultra.com.br,Atuação Na Cadeia de óleo E Gás Por Meio Da Ipiranga. Ultragaz E Ultracargo. Especialidades Químicas Através Da Oxiteno E Varejo Farmacêutico Com A Extrafarma.
Grupo Casas Bahia S.A.,Casas Bahia,6505,"O Grupo Casas Bahia, antigo Via, é uma empresa de comércio varejista brasileira que foi fundada em 2010, após a associação de Casas Bahia e Pontofrio. A empresa é responsável pelas redes de lojas das bandeiras Casas Bahia e Ponto, além de ser a administradora do site de e-commerce Extra.com.br. Com mais de 1.100 lojas, 28 centros de distribuição e mais de 51 mil colaboradores, o Grupo Casas Bahia está presente em mais de 515 municípios brasileiros, 21 estados e no Distrito Federal. A empresa é controlada pela família Klein, fundadora da Casas Bahia, com 22,98% de participação no capital da empresa. Em 2022, o grupo ocupou o quarto lugar entre os maiores varejistas do Brasil, de acordo com o Ranking IBEVAR.",BHIA,https://ri.grupocasasbahia.com.br,


Panatlântica S.A.,Panatlântica,94,,PATI,https://www.panatlantica.com.br,Industrialização E Comercialização de Aços Planos.
Bahema Educação S.A.,Bahema,701,"A Bahema Educação é uma empresa de ensino básico. Com mais de 70 anos de história, a Bahema tem atestada competência em gestão administrativa e investimentos, o que a torna uma parceira ideal para escolas que desejam atualizar seus projetos pedagógicos. Desde sua entrada no setor de educação básica em 2017, a Bahema já adquiriu diversas escolas, incluindo instituições bilíngues e sócio construtivistas em várias partes do Brasil. Em 2022, a Companhia anunciou a aquisição do Intergraus, cursinho preparatório para estudantes que desejam ingressar em cursos de ensino superior mais concorridos.",BAHI,https://www.bahema.com.br,Prestação de Serviços Educacionais. Diretamente Ou Por Meio de Participação em Outras Sociedades. Nas áreas de Educação Pré-escolar. Infantil E Básica (ensino Fundamental Ao Ensino Médio)
Banco Bradesco S.A.,Banco Bradesco,906,"O Bradesco é um dos maiores bancos do Brasil, com uma história de mais de 75 anos de atuação no mercado financeiro. Com uma ampla rede de atendimento, o banco está presente em todos os municípios do país, oferecendo uma ampla gama de serviços financeiros, desde contas correntes e empréstimos até investimentos e seguros. Reconhecido como uma das marcas mais valiosas do Brasil, o Bradesco é uma referência no setor financeiro, com uma atuação pautada pela inovação, qualidade e excelência no atendimento ao cliente.",BBDC,https://www.bradescori.com.br,Prática de Operações Bancárias em Geral. Inclusive Câmbio
Banco da Amazônia S.A.,Banco da Amazônia,922,"O Banco da Amazônia é uma instituição financeira brasileira de economia mista, com participação do Governo Federal como maior acionista, focada na região Norte do Brasil. Fundado em 1942 como Banco de Crédito da Borracha, sua criação foi resultado da estratégia de guerra dos aliados durante a Segunda Guerra Mundial. O banco é especialista em fomento e contribui para o desenvolvimento regional sustentável por meio da administração de Fundos Constitucionais e linhas de crédito para diversos setores produtivos.",BAZA,https://www.bancoamazonia.com.br/o-banco/relacoes-com-investidores,
Banco do Brasil S.A.,Banco do Brasil,1023,"O Banco do Brasil é uma das maiores instituições financeiras do Brasil, com uma ampla rede de agências e postos de atendimento em todo o país, além de presença em diversos países do mundo. Fundado em 1808, o banco passou por diversas transformações ao longo de sua história, e hoje atua como um banco de mercado, competitivo e rentável, com o objetivo de atender às necessidades financeiras de seus clientes e contribuir para o desenvolvimento econômico e social do país. Com uma equipe de mais de 86 mil funcionários, o Banco do Brasil é uma das principais referências do setor financeiro no Brasil e no mundo.",BBAS,https://ri.bb.com.br,Banco Múltiplo
Banco do Estado de Sergipe S.A.,Banese,1120,"O Banese é um banco brasileiro que tem como principal acionista o Governo do Estado de Sergipe. Fundado em 1961 como Banco de Fomento Econômico, o Banese tem como objetivo principal o desenvolvimento econômico de Sergipe, expandindo sua rede de atendimento por diversos bairros da capital e municípios do interior. Ao longo de sua história, o banco passou por diversos processos de modernização e reestruturação, como a informatização de sua rede de agências, a criação de novos produtos e serviços, e a introdução de novas metodologias de gestão. Atualmente, o Banese é um banco múltiplo que oferece serviços de crédito, investimentos, seguros e previdência, e é um importante agente de desenvolvimento econômico e social em Sergipe.",BGIP,https://ri.banese.com.br,
Banco do Estado do Espírito Santo S.A.,Banestes,1155,"O Banestes é um banco fundado em 1937 e constituído como uma sociedade de economia mista, com o Governo do Estado do Espírito Santo como seu maior acionista. É um banco múltiplo e possui a maior rede bancária no estado do Espírito Santo, com agências em todos os 78 municípios capixabas. O Banestes oferece uma ampla gama de produtos e serviços financeiros para seus clientes, incluindo cartões de crédito, seguros, gestão de ativos e carteira de investimentos. Além disso, o banco é composto por três empresas: Banestes Seguros, Banestes DTVM e Banestes Corretora.",BEES,https://www.banestes.com.br/ri,Intermediação Financeira Inerente Aos Bancos Múltiplos Por Meio Das Carteiras Autorizadas. Inclusive Operações de Câmbio.
Banco do Estado do Pará S.A.,Banpará,1171,,BPAR,https://ri.banpara.b.br/,
Banco do Estado do Rio Grande do Sul S.A.,Banrisul,1210,"O Banrisul é um banco estatal brasileiro, criado em 1928, com sede em Porto Alegre, RS. Com foco de negócios na região sul do Brasil, o banco é uma sociedade de economia mista, com participação do Governo do Estado do Rio Grande do Sul como maior acionista individual. Sua missão atual é promover o desenvolvimento econômico e social do estado do Rio Grande do Sul, atendendo pessoas de todos os segmentos econômicos e sociais, com serviços bancários de varejo, gestão de ativos, cartões de crédito e seguros.",BRSR,https://ri.banrisul.com.br,Banco Múltiplo Atuante Nas Carteiras Comercial. Crédito. Financiamento E Investimento. Crédito Imobiliário. Desenvolvimento E Arrendamento Mercantil E de Investimentos.
Banco do Nordeste do Brasil S.A.,Banco do Nordeste,1228,"O Banco do Nordeste do Brasil é uma instituição financeira múltipla que tem como objetivo promover o desenvolvimento sustentável da Região Nordeste do Brasil, por meio do apoio financeiro aos agentes produtivos regionais. Com mais de 300 agências, o banco atua em cerca de 2 mil municípios, abrangendo os nove estados da região nordeste, o norte de Minas Gerais e o norte do Espírito Santo. O banco é responsável pelo maior programa de microcrédito produtivo orientado da América do Sul, o CrediAmigo, e também opera o Programa de Desenvolvimento do Turismo no Nordeste.",BNBR,https://www.bnb.gov.br,Banco Múltiplo Com Carteira Comercial
Banco Mercantil de Investimentos S.A.,Banco Mercantil de Investimentos,1309,,BMIN,http://www.mercantildobrasil.com.br,Investimentos / Financiamentos
Banco Mercantil do Brasil S.A.,Banco Mercantil do Brasil,1325,,BMEB,http://www.mercantildobrasil.com.br,Finanças. Banco Múltiplo
Banco Alfa de Investimento S.A.,Alfa Investimento,1384,,BRIV,http://www.alfanet.com.br,Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.
Bardella S.A. Indústrias Mecânicas,Bardella,1520,,BDLL,http://www.bardella.com.br,Bens de Capital. Produtos E Serviços Para Os Segmentos de Metalurgia. Movimentação de Materiais. óleo E Gás. Energia E Aços Laminados E Trefilados. Para Os Mercados Nacionais E Internacional
Baumer S.A.,Baumer,1562,,BALM,https://www.baumer.com.br,Fabricação Aparelhos E Instrumentos P/ Uso Medico Hospitalar E Ortopedia
Excelsior Alimentos S.A.,Excelsior,1570,,BAUH,http://www.excelsior.ind.br,Atua Na Produção E Comercialização de Patês em Bisnagas. Sendo Seus Principais Produtos: Presuntos. Fiambres. Mortadelas. Linguiças. Salsichas E Patês.
Bicicletas Monark S.A.,Monark,1694,,BMKS,http://www.monark.com.br,Fabricação E Comercialização de Bicicletas
SANEAMENTO DE GOIAS S/A,SANEAMENTOGO,1918,,,http://www.saneago.com.br,
Cambuci S.A.,Cambuci,2100,,CAMB,http://www.cambuci.com.br/investidores,
VIARONDON CONCESSIONARIA DE RODOVIA S/A,VIARONDON,2254,,,http://www.viarondon.com.br,
ECO050 - CONCESSIONARIA DE RODOVIAS S.A.,ECO050RODO,2388,,,http://www.eco050.com.br,
COMPANHIA ENERGETICA SINOP S.A.,SINOPENERG,2415,,,https://ri.sinopenergia.com.br,
Irani Papel e Embalagem S.A.,Irani,2429,,RANI,http://www.irani.com.br,Fabricação de Papel Para Embalagem. Embalagens de Papelão Ondulado E Resinas.
Centrais Elétricas Brasileiras S.A.,Eletrobras,2437,"A Eletrobras é uma empresa brasileira de capital aberto que atua no setor de energia elétrica, sendo responsável por uma grande parte da capacidade de geração e transmissão de energia no país. Com uma história que remonta à década de 1960, a empresa passou por diversas mudanças e reestruturações, mas continua sendo uma das principais referências no setor elétrico brasileiro. Com uma capacidade instalada de mais de 42 mil megawatts e mais de 74 mil quilômetros de linhas de transmissão, a Eletrobras é uma das maiores empresas de energia elétrica da América Latina.",ELET,https://ri.eletrobras.com,Empresa Holding de Geração. Transmissão de Energia
Companhia Energética de Minas Gerais S.A.,CEMIG,2453,"A CEMIG é uma das principais concessionárias de energia elétrica do Brasil, atuando em áreas de geração, transmissão, distribuição e comercialização de energia elétrica, além de distribuição de gás natural. Fundada em 1952, é uma das maiores empresas integradas do setor de energia elétrica da América do Sul, em número de clientes e em quilômetros de rede e de equipamentos e instalações. Com participações em 89 empreendimentos de geração em operação, é a terceira maior geradora de energia do país, considerando suas subsidiárias, controladas e coligadas. A CEMIG é uma companhia de capital aberto controlada pelo Governo do Estado de Minas Gerais.",CMIG,https://ri.cemig.com.br,Concessionária de Serviço Público de Energia Elétrica.
Centrais Elétricas de Santa Catarina S.A.,Celesc,2461,"A Celesc é a maior empresa do setor elétrico em Santa Catarina, responsável pela geração, transmissão, comercialização e distribuição de eletricidade no estado. Fundada em 1955, a empresa foi criada para suprir as necessidades energéticas que na época eram atendidas por pequenas empresas privadas. Com sede em Florianópolis e regionais em diversas cidades do estado, a Celesc é uma empresa de economia mista, com controle acionário do governo de Santa Catarina.",CLSC,https://ri.celesc.com.br,Holding Do Setor de Energia
TRAVESSIA SECURITIZADORA DE CRÉDITOS FINANCEIROS S,TSCRED,2524,,,http://www.grupotravessia.com,
RIO ALTO ENERGIAS RENOVÁVEIS S.A.,RIO ALTO,2572,,,http://www.gruporioalto.com.br/,
CESP - Companhia Energética de São Paulo,CESP,2577,"A Companhia Energética de São Paulo (CESP) foi uma das maiores produtoras de energia elétrica do Brasil, com três usinas hidrelétricas integradas ao Sistema Interligado Nacional (SIN). Fundada em 1966, a empresa foi responsável por centralizar o planejamento e racionalização dos recursos do estado de São Paulo no setor energético. A CESP foi reconhecida mundialmente por sua tecnologia desenvolvida nas áreas de geração, transmissão e distribuição de energia elétrica, além de ter sido pioneira em trabalhos de meio ambiente e hidrovia no setor elétrico brasileiro. A empresa, no entanto, foi alvo de críticas e ações judiciais devido ao desastre ambiental causado pela construção da Usina hidrelétrica Porto Primavera, que inundou uma grande área de grande biodiversidade e de grande importância arqueológica e social. A CESP foi privatizada em 2016.",CESP,http://www.cesp.com.br,Geração E Comercialização de Energia Elétrica
EMCCAMP RESIDENCIAL S.A.,EMCCAMP,2590,,,https://emccamp.com.br/,
Ampla Energia e Serviços S.A.,Ampla Energia,3050,"A Enel Distribuição Rio é uma empresa de distribuição de energia elétrica com uma longa história de atuação no estado do Rio de Janeiro. Com uma ampla cobertura de 66 municípios e uma equipe de mais de 10.000 colaboradores, a empresa é uma das principais distribuidoras de energia elétrica do estado. Com a aquisição pela Enel Spa, a empresa passou a atuar com uma visão mais global e sustentável, buscando sempre a inovação e a melhoria contínua de seus serviços. Com uma forte presença no mercado, a Enel Distribuição Rio é uma empresa de referência no setor elétrico brasileiro.",CBEE,http://www.eneldistribuicao.com.br/rj,Distribuição de Energia Elétrica
Companhia de Ferro Ligas da Bahia - Ferbasa,Ferbasa,3069,"A Ferbasa, fundada em 23 de fevereiro de 1961 pelo engenheiro José Corgosinho de Carvalho Filho, é uma empresa que atua em produção de minérios e tem uma ótima presença no setor. A empresa é líder nacional na produção de ferro-ligas e a única produtora de ferro-cromo da América, detendo o monopólio do mercado e quase todas as reservas de cromitas no Brasil. Atualmente, a Ferbasa tem presença mundial e oferta de produtos para diversos países. Suas atividades principais são mineração, recursos florestais, metalurgia e energia renovável. A empresa conquistou reconhecimento pelo desenvolvimento de produtos de alta qualidade e destaca-se pela sua forte atuação social e ambiental.",FESA,https://www.ferbasa.com.br,Fabricação E Comercialização Dos Diversos Tipos de Ferroligas
Companhia de Fiação e Tecidos Cedro Cachoeira,Cedro Têxtil,3077,,CEDO,https://cedro.com.br,Indústria Têxtil
Companhia de Seguros Aliança da Bahia,Cia. de Seg. Aliança da Bahia,3115,,CSAB,http://www.alba.com.br,Companhia de Seguros
Companhia de Tecidos Norte de Minas,Coteminas,3158,"A Coteminas é uma empresa do ramo têxtil fundada em 1967 em Montes Claros, Minas Gerais, pelo empresário José Alencar. Além do Brasil, a empresa possui operações em outros países, como Argentina, EUA e Canadá. A Coteminas é responsável por marcas como Santista, Artex, MMartan e Casa Moysés, e é uma das principais empresas do setor têxtil no Brasil. A empresa passou por uma crise nos EUA e no Brasil, mas conseguiu se reestruturar e se manter no mercado, expandindo suas operações e marcas. A Coteminas é uma empresa que se preocupa com a qualidade de seus produtos e com a responsabilidade social e ambiental.",CTNM,https://www.ctnm.com.br,Holding
Rede Energia Participações S.A.,Rede Energia,3190,,REDE,https://ri.energisa.com.br,Participação em Outras Empresas (a Rede Energia Participações É Uma Holding)
Companhia Estadual de Geração e Transmissão de Energia Elétrica,CEEE GT,3204,,EEEL,http://www.ceee.com.br,Geração E Transmissão de Energia Elétrica
ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,ENERGISA MINAS GERAIS,3271,,,http://www.cataguazes.com.br,Concessionária de Serviço Público de Distribuição de Energia.
Companhia Habitasul de Participações,Habitasul,3298,,HBTS,http://www.habitasul.com.br,Participação em Sociedades. Civis Ou Comerciais; Prestação de Serviços Técnicos de Planejamento. Organização E Estruturação de Empresas Ou Grupos Empresariais.
Companhia Industrial Cataguases,Cataguases,3395,"A Cataguases é uma empresa brasileira com mais de 80 anos de história, que produz tecidos de algodão e viscose para moda feminina, masculina, infantil, decoração e uniformes. Com um parque fabril de mais de 65 mil metros quadrados, a empresa tem capacidade de produção de mais de 25 milhões de metros lineares de tecidos. Seus produtos estão presentes em mais de 20 países, principalmente nos países que ditam os padrões da moda mundial. A empresa é reconhecida por oferecer soluções em tecidos e confeccionados, e por preservar processos produtos sustentáveis, com selos reconhecidamente relevantes no mercado têxtil, como o BCI.",CATA,https://ri.cataguases.com.br,Indústria Têxtil E A Comercialização de Fios E Tecidos em Geral E Produtos Intermediários Têxteis.
Companhia Melhoramentos de São Paulo,Melhoramentos,3654,,MSPA,http://www.melhoramentos.com.br,
COMPANHIA PAULISTA DE FORCA LUZ - CPFL,PAUL F LUZ,3824,,PALF,http://www.cpfl.com.br,Prestação de Serviço Público de Distribuição de Energia Elétrica
Financeira Alfa S.A. – CFI,Alfa Financeira,3891,,CRIV,http://www.alfanet.com.br,A Sociedade Tem Por Objeto A Prática de Todas As Operações de Crédito. Financiamento E Investimentos Permitidas Pelas Leis E Regulamentos Aplicáveis à Espécie.
Gerdau S.A.,Gerdau,3980,"A Gerdau é uma empresa brasileira líder na produção de aço e fornecedora de aços longos nas Américas e aços especiais no mundo. Com mais de 30 mil colaboradores diretos e indiretos em suas operações em 10 países, a Gerdau é também a maior recicladora da América Latina, utilizando sucata como importante matéria-prima para a produção de aço. Fundada por Johann Heinrich Kaspar Gerdau em 1901, a empresa iniciou sua trajetória na fabricação de pregos e, posteriormente, expandiu seus negócios para a siderurgia. Atualmente, as ações da Gerdau são listadas nas bolsas de valores de São Paulo, Nova Iorque e Madrid. O Conselho de Administração é responsável pela definição da estratégia de longo prazo e pela escolha da presidência, enquanto a diretoria é responsável pela condução geral dos negócios e aplicação das estratégias aprovadas.",GGBR,https://ri.gerdau.com,Participação E Administração
Companhia Siderúrgica Nacional,Siderúrgica Nacional,4030,"A Companhia Siderúrgica Nacional (CSN) é uma das maiores indústrias siderúrgicas do mundo, com uma produção anual de mais de 6 milhões de toneladas de aço bruto e 5 milhões de toneladas de laminados. Sua usina, localizada em Volta Redonda, no Rio de Janeiro, é responsável por grande parte da produção, e a empresa também possui minas de minério de ferro e carvão em outras regiões do Brasil. Fundada em 1946, a CSN foi privatizada em 1993 e atualmente possui diversas empresas em diferentes setores, como cimentos, aços longos e mineração.",CSNA,https://ri.csn.com.br,A Companhia Siderúrgica Nacional Atua Nos Setores de Mineração. Siderurgia. Logística. Cimento E Energia.
